N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
1000,4,0.000260,0.000174,1.490016,0.372504,168
1000,4,0.000322,0.000129,2.488185,0.622046,168
1000,4,0.000245,0.000174,1.413838,0.353459,168
1000,4,0.000232,0.000227,1.021475,0.255369,168
1000,4,0.000253,0.000190,1.331821,0.332955,168
1000,4,0.000233,0.000225,1.033238,0.258310,168
1000,4,0.000276,0.000206,1.340287,0.335072,168
1000,4,0.000256,0.000197,1.297355,0.324339,168
1000,4,0.000306,0.000196,1.560360,0.390090,168
1000,4,0.000273,0.000206,1.323846,0.330961,168
1000,4,0.000326,0.000191,1.707388,0.426847,168
1000,4,0.000241,0.000155,1.552642,0.388161,168
1000,4,0.000351,0.000212,1.659318,0.414830,168
1000,4,0.000220,0.000219,1.003579,0.250895,168
1000,4,0.000274,0.000173,1.586436,0.396609,168
1000,4,0.000226,0.000338,0.666595,0.166649,168
1000,4,0.000249,0.000148,1.685756,0.421439,168
1000,4,0.000290,0.000269,1.077375,0.269344,168
1000,4,0.000227,0.000204,1.116463,0.279116,168
1000,4,0.000270,0.000165,1.641274,0.410318,168
1000,4,0.000205,0.000185,1.108372,0.277093,168
1000,4,0.000263,0.000126,2.088908,0.522227,168
1000,4,0.000227,0.000167,1.361722,0.340430,168
1000,4,0.000207,0.000187,1.104375,0.276094,168
1000,4,0.000229,0.000237,0.965462,0.241366,168
1000,4,0.000217,0.000172,1.261295,0.315324,168
1000,4,0.000292,0.000284,1.027885,0.256971,168
1000,4,0.000299,0.000154,1.941757,0.485439,168
1000,4,0.000278,0.000179,1.548198,0.387050,168
1000,4,0.000299,0.000193,1.550704,0.387676,168
1000,4,0.000268,0.000211,1.273574,0.318393,168
1000,4,0.000248,0.000149,1.662909,0.415727,168
1000,4,0.000251,0.000186,1.355392,0.338848,168
1000,4,0.000237,0.000113,2.092060,0.523015,168
1000,4,0.000340,0.000209,1.623721,0.405930,168
1000,4,0.000325,0.000230,1.410298,0.352574,168
1000,4,0.000283,0.000230,1.228945,0.307236,168
1000,4,0.000242,0.000164,1.479849,0.369962,168
1000,4,0.000225,0.000209,1.075705,0.268926,168
1000,4,0.000295,0.000199,1.487073,0.371768,168
1000,4,0.000258,0.000196,1.316233,0.329058,168
1000,4,0.000255,0.000215,1.185030,0.296258,168
1000,4,0.000258,0.000204,1.261367,0.315342,168
1000,4,0.000263,0.000216,1.213729,0.303432,168
1000,4,0.000214,0.000301,0.710664,0.177666,168
1000,4,0.000345,0.000199,1.734210,0.433553,168
1000,4,0.000204,0.000199,1.027128,0.256782,168
1000,4,0.000281,0.000248,1.132722,0.283181,168
1000,8,0.000241,0.000200,1.205744,0.150718,168
1000,8,0.000244,0.000288,0.844358,0.105545,168
1000,8,0.000346,0.000326,1.058989,0.132374,168
1000,8,0.000375,0.000354,1.059446,0.132431,168
1000,8,0.000310,0.000176,1.759117,0.219890,168
1000,8,0.000309,0.000311,0.992537,0.124067,168
1000,8,0.000232,0.000311,0.743589,0.092949,168
1000,8,0.000246,0.000280,0.878068,0.109759,168
1000,8,0.000254,0.000275,0.922490,0.115311,168
1000,8,0.000249,0.000211,1.177829,0.147229,168
1000,8,0.000242,0.000221,1.095936,0.136992,168
1000,8,0.000227,0.000202,1.125413,0.140677,168
1000,8,0.000260,0.000311,0.838157,0.104770,168
1000,8,0.000246,0.000247,0.995957,0.124495,168
1000,8,0.000271,0.000176,1.543206,0.192901,168
1000,8,0.000259,0.000334,0.773421,0.096678,168
1000,8,0.000270,0.000447,0.605374,0.075672,168
1000,8,0.000262,0.000263,0.995287,0.124411,168
1000,8,0.000229,0.000381,0.599582,0.074948,168
1000,8,0.000287,0.000295,0.971676,0.121459,168
1000,8,0.000260,0.000282,0.923550,0.115444,168
1000,8,0.000220,0.000207,1.063413,0.132927,168
1000,8,0.000258,0.000293,0.880379,0.110047,168
1000,8,0.000247,0.000195,1.267860,0.158482,168
1000,8,0.000257,0.000264,0.971879,0.121485,168
1000,8,0.000196,0.000384,0.511738,0.063967,168
1000,8,0.000314,0.000328,0.956141,0.119518,168
1000,8,0.000344,0.000245,1.405173,0.175647,168
1000,8,0.000274,0.000259,1.059514,0.132439,168
1000,8,0.000310,0.000323,0.959323,0.119915,168
1000,8,0.000318,0.000352,0.903826,0.112978,168
